key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
931,41GC24,Prehistoric,,,12550 BC,1690 AD,,,1,32.030511,-101.692624
932,41GC26,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,11,31.973413,-101.631557
933,41GC26,Prehistoric,,,12550 BC,1690 AD,,,11,31.973413,-101.631557
934,41GC27,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,31.968424,-101.629912
935,41GC31,Prehistoric,,,12550 BC,1690 AD,,,10,32.026563,-101.647557
936,41GC32,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,10,31.96579,-101.631699
937,41GC33,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,9,31.962685,-101.627496
938,41GL1,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.495297,-99.114606
939,41GL1,Middle Archaic,,,4050 BC,2050 BC,,http://n2t.net/ark:/99152/p0m448v3gsp,1,30.495297,-99.114606
940,41GL1,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,1,30.495297,-99.114606
941,41GL1,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,1,30.495297,-99.114606
942,41GL10,Prehistoric,,,12550 BC,1690 AD,,,1,30.235765,-98.623947
943,41GL12,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,2,30.218644,-98.879106
944,41GL135,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.243666,-98.606651
945,41GL136,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.251603,-98.624126
946,41GL160,Early Archaic,,7050 BC,6950 BC,4050 BC,3550 BC,http://n2t.net/ark:/99152/p0m448vxj6h,1,30.355621,-98.804862
947,41GL17,Late Archaic,,1200 BC,1050 BC,650 AD,950 AD,http://n2t.net/ark:/99152/p0m448vtqnz,1,30.286791,-98.84994
948,41GL175,Archaic,,,6550 BC,700 AD,,http://n2t.net/ark:/99152/p07fthdxxsh,15,30.383061,-99.148165
949,41GL175,Middle Archaic,,4050 BC,3550 BC,1250 BC,1050 BC,http://n2t.net/ark:/99152/p0m448v3gsp,5,30.383061,-99.148165
950,41GL175,Late Paleo-Indian,,,8050 BC,6050 BC,,http://n2t.net/ark:/99152/p07fthdrsfd,4,30.383061,-99.148165
951,41GL18,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.241503,-98.609795
952,41GL19,Late Paleo-Indian,,,8050 BC,6050 BC,,http://n2t.net/ark:/99152/p07fthdrsfd,2,30.222129,-98.870143
953,41GL19,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,3,30.222129,-98.870143
954,41GL279,Prehistoric,,,12550 BC,1690 AD,,,9,30.304722,-98.902819
955,41GL300,Prehistoric,,,12550 BC,1690 AD,,,24,30.406695,-98.658985
956,41GL301,Prehistoric,,,12550 BC,1690 AD,,,21,30.405209,-98.656606
957,41GL321,Prehistoric,,,12550 BC,1690 AD,,,13,30.217178,-98.868176
958,41GL367,Prehistoric,,,12550 BC,1690 AD,,,26,30.466542,-98.810372
959,41GL368,Prehistoric,,,12550 BC,1690 AD,,,24,30.487659,-98.902088
960,41GL38,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.458699,-99.14
961,41GL40,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,1,30.318427,-99.064469
